,Model,Accel,batchsize,avg_runtime,50th_pct,90th_pct,95th_pct
0,sdturbo,onnxruntime_cpu,1,100,100,100,100
1,sdturbo,onnxruntime_cpu,2,150,150,150,150
2,sdturbo,onnxruntime_cpu,4,220,220,220,220
3,sdturbo,onnxruntime_cpu,8,410,410,410,410
4,sdturbo,onnxruntime_cpu,16,770,770,770,770
5,sdturbo,onnxruntime_cpu,32,1560,1560,1560,1560
6,sdturbo,onnxruntime_gpu_pascal,1,100,100,100,100
7,sdturbo,onnxruntime_gpu_pascal,2,150,150,150,150
8,sdturbo,onnxruntime_gpu_pascal,4,220,220,220,220
9,sdturbo,onnxruntime_gpu_pascal,8,410,410,410,410
10,sdturbo,onnxruntime_gpu_pascal,16,770,770,770,770
11,sdturbo,onnxruntime_gpu_pascal,32,1560,1560,1560,1560
12,sdturbo,onnxruntime_gpu_ampere,1,100,100,100,100
13,sdturbo,onnxruntime_gpu_ampere,2,150,150,150,150
14,sdturbo,onnxruntime_gpu_ampere,4,220,220,220,220
15,sdturbo,onnxruntime_gpu_ampere,8,410,410,410,410
16,sdturbo,onnxruntime_gpu_ampere,16,770,770,770,770
17,sdturbo,onnxruntime_gpu_ampere,32,1560,1560,1560,1560
18,sdv15,onnxruntime_cpu,1,1780,1780,1780,1780
19,sdv15,onnxruntime_cpu,2,2160,2160,2160,2160
20,sdv15,onnxruntime_cpu,4,3680,3680,3680,3680
21,sdv15,onnxruntime_cpu,8,6790,6790,6790,6790
22,sdv15,onnxruntime_cpu,16,12880,12880,12880,12880
23,sdv15,onnxruntime_cpu,32,25350,25350,25350,25350
24,sdv15,onnxruntime_gpu_pascal,1,1780,1780,1780,1780
25,sdv15,onnxruntime_gpu_pascal,2,2160,2160,2160,2160
26,sdv15,onnxruntime_gpu_pascal,4,3680,3680,3680,3680
27,sdv15,onnxruntime_gpu_pascal,8,6790,6790,6790,6790
28,sdv15,onnxruntime_gpu_pascal,16,12880,12880,12880,12880
29,sdv15,onnxruntime_gpu_pascal,32,25350,25350,25350,25350
30,sdv15,onnxruntime_gpu_ampere,1,1780,1780,1780,1780
31,sdv15,onnxruntime_gpu_ampere,2,2160,2160,2160,2160
32,sdv15,onnxruntime_gpu_ampere,4,3680,3680,3680,3680
33,sdv15,onnxruntime_gpu_ampere,8,6790,6790,6790,6790
34,sdv15,onnxruntime_gpu_ampere,16,12880,12880,12880,12880
35,sdv15,onnxruntime_gpu_ampere,32,25350,25350,25350,25350
