,Model,Accel,batchsize,avg_runtime,50th_pct,90th_pct,95th_pct
0,sdturbo,onnxruntime_cpu,1,50,50,50,50
1,sdturbo,onnxruntime_cpu,2,60,60,60,60
2,sdturbo,onnxruntime_cpu,4,80,80,80,80
3,sdturbo,onnxruntime_cpu,8,130,130,130,130
4,sdturbo,onnxruntime_cpu,16,240,240,240,240
5,sdturbo,onnxruntime_cpu,32,480,480,480,480
6,sdturbo,onnxruntime_gpu_pascal,1,50,50,50,50
7,sdturbo,onnxruntime_gpu_pascal,2,60,60,60,60
8,sdturbo,onnxruntime_gpu_pascal,4,80,80,80,80
9,sdturbo,onnxruntime_gpu_pascal,8,130,130,130,130
10,sdturbo,onnxruntime_gpu_pascal,16,240,240,240,240
11,sdturbo,onnxruntime_gpu_pascal,32,480,480,480,480
12,sdturbo,onnxruntime_gpu_ampere,1,50,50,50,50
13,sdturbo,onnxruntime_gpu_ampere,2,60,60,60,60
14,sdturbo,onnxruntime_gpu_ampere,4,80,80,80,80
15,sdturbo,onnxruntime_gpu_ampere,8,130,130,130,130
16,sdturbo,onnxruntime_gpu_ampere,16,240,240,240,240
17,sdturbo,onnxruntime_gpu_ampere,32,480,480,480,480
18,sdv15,onnxruntime_cpu,1,1780,1780,1780,1780
19,sdv15,onnxruntime_cpu,2,2160,2160,2160,2160
20,sdv15,onnxruntime_cpu,4,3680,3680,3680,3680
21,sdv15,onnxruntime_cpu,8,6790,6790,6790,6790
22,sdv15,onnxruntime_cpu,16,12880,12880,12880,12880
23,sdv15,onnxruntime_cpu,32,25350,25350,25350,25350
24,sdv15,onnxruntime_gpu_pascal,1,1780,1780,1780,1780
25,sdv15,onnxruntime_gpu_pascal,2,2160,2160,2160,2160
26,sdv15,onnxruntime_gpu_pascal,4,3680,3680,3680,3680
27,sdv15,onnxruntime_gpu_pascal,8,6790,6790,6790,6790
28,sdv15,onnxruntime_gpu_pascal,16,12880,12880,12880,12880
29,sdv15,onnxruntime_gpu_pascal,32,25350,25350,25350,25350
30,sdv15,onnxruntime_gpu_ampere,1,1780,1780,1780,1780
31,sdv15,onnxruntime_gpu_ampere,2,2160,2160,2160,2160
32,sdv15,onnxruntime_gpu_ampere,4,3680,3680,3680,3680
33,sdv15,onnxruntime_gpu_ampere,8,6790,6790,6790,6790
34,sdv15,onnxruntime_gpu_ampere,16,12880,12880,12880,12880
35,sdv15,onnxruntime_gpu_ampere,32,25350,25350,25350,25350
