content_id,sdturbo,sdv15
1,7.30E-01,5.53E-01
2,9.88E-01,6.81E-01
3,7.29E-01,5.21E-01
4,9.98E-01,5.39E-01
5,9.85E-01,9.94E-01
6,7.62E-01,7.99E-01
7,9.95E-01,7.51E-01
8,9.92E-01,8.67E-01
9,1.00E+00,9.92E-01
10,9.99E-01,1.00E+00
11,4.95E-01,7.77E-01
12,8.58E-01,8.66E-01
13,9.95E-01,9.91E-01
14,9.73E-01,8.87E-01
15,1.00E+00,8.18E-01
16,7.56E-01,9.42E-01
17,9.86E-01,8.08E-01
18,9.98E-01,9.21E-01
19,7.80E-01,5.54E-01
20,9.01E-01,9.85E-01
21,8.76E-01,9.59E-01
22,8.21E-01,9.99E-01
23,9.97E-01,9.99E-01
24,5.31E-01,6.87E-01
25,1.00E+00,7.84E-01
26,8.82E-01,5.12E-01
27,9.67E-01,6.01E-01
28,9.98E-01,5.07E-01
29,9.74E-01,9.97E-01
30,9.98E-01,9.65E-01
31,9.92E-01,5.07E-01
32,5.26E-01,8.95E-01
33,9.82E-01,8.55E-01
34,9.66E-01,7.26E-01
35,7.80E-01,7.06E-01
36,7.31E-01,7.75E-01
37,9.94E-01,8.94E-01
38,9.90E-01,8.92E-01
39,7.52E-01,9.05E-01
40,8.09E-01,8.59E-01
41,9.96E-01,8.02E-01
42,9.89E-01,9.69E-01
43,9.17E-01,7.05E-01
44,7.67E-01,5.73E-01
45,9.32E-01,7.42E-01
46,9.89E-01,9.85E-01
47,8.71E-01,9.10E-01
48,9.11E-01,9.62E-01
49,9.59E-01,5.63E-01
50,9.98E-01,7.63E-01
51,8.28E-01,9.03E-01
52,9.98E-01,9.85E-01
53,5.83E-01,6.21E-01
54,8.16E-01,5.25E-01
55,8.59E-01,6.86E-01
56,9.95E-01,9.70E-01
57,7.60E-01,9.28E-01
58,8.21E-01,8.60E-01
59,9.76E-01,8.95E-01
60,9.78E-01,7.46E-01
61,9.31E-01,6.66E-01
62,9.23E-01,9.68E-01
63,7.57E-01,5.14E-01
64,9.55E-01,8.80E-01
65,9.68E-01,7.21E-01
66,7.86E-01,9.95E-01
67,9.99E-01,6.74E-01
68,7.84E-01,5.11E-01
69,1.00E+00,7.98E-01
70,9.93E-01,8.47E-01
71,9.92E-01,9.80E-01
72,9.73E-01,4.53E-01
73,9.94E-01,5.14E-01
74,7.67E-01,9.84E-01
75,9.85E-01,6.47E-01
76,5.85E-01,5.30E-01
77,9.98E-01,9.92E-01
78,9.80E-01,7.82E-01
79,9.66E-01,2.83E-01
80,8.73E-01,8.17E-01
81,7.30E-01,5.19E-01
82,9.91E-01,7.25E-01
83,9.79E-01,7.32E-01
84,9.53E-01,8.91E-01
85,7.51E-01,8.24E-01
86,7.57E-01,7.37E-01
87,9.58E-01,8.16E-01
88,9.85E-01,7.50E-01
89,6.77E-01,7.52E-01
90,8.67E-01,7.61E-01
91,7.65E-01,7.23E-01
92,9.32E-01,5.75E-01
93,9.22E-01,7.17E-01
94,9.87E-01,8.46E-01
95,5.34E-01,5.41E-01
96,7.19E-01,5.23E-01
97,9.99E-01,5.39E-01
98,5.57E-01,5.14E-01
99,9.95E-01,8.90E-01
100,7.93E-01,7.18E-01
101,9.99E-01,9.16E-01
102,9.98E-01,5.32E-01
103,9.55E-01,9.73E-01
104,9.95E-01,7.83E-01
105,9.32E-01,5.63E-01
106,9.85E-01,7.51E-01
107,9.84E-01,7.18E-01
108,9.97E-01,7.09E-01
109,1.00E+00,8.58E-01
110,5.53E-01,6.70E-01
111,6.89E-01,5.01E-01
112,8.22E-01,5.44E-01
113,8.39E-01,7.84E-01
114,9.99E-01,9.78E-01
115,9.24E-01,7.77E-01
116,7.52E-01,5.04E-01
117,5.70E-01,6.26E-01
118,8.18E-01,7.50E-01
119,7.49E-01,7.53E-01
120,9.49E-01,6.63E-01
121,9.44E-01,9.56E-01
122,9.59E-01,9.23E-01
123,9.56E-01,8.65E-01
124,6.72E-01,7.46E-01
125,9.87E-01,7.63E-01
126,9.93E-01,7.12E-01
127,7.64E-01,7.24E-01
128,7.54E-01,6.13E-01
129,5.88E-01,7.67E-01
130,7.56E-01,5.32E-01
131,5.16E-01,5.25E-01
132,7.53E-01,7.44E-01
133,5.90E-01,5.47E-01
134,9.78E-01,7.14E-01
135,9.97E-01,5.01E-01
136,9.48E-01,5.67E-01
137,9.99E-01,7.15E-01
138,5.30E-01,5.35E-01
139,9.19E-01,8.77E-01
140,7.25E-01,5.01E-01
141,8.60E-01,6.85E-01
142,5.12E-01,5.10E-01
143,6.40E-01,5.15E-01
144,8.71E-01,7.54E-01
145,6.72E-01,5.03E-01
146,5.11E-01,5.02E-01
147,9.10E-01,5.46E-01
148,6.57E-01,5.76E-01
149,8.38E-01,5.25E-01
150,6.09E-01,7.03E-01
151,8.89E-01,5.04E-01
152,1.00E+00,5.47E-01
153,5.35E-01,5.18E-01
154,8.31E-01,6.25E-01
155,7.01E-01,5.68E-01
156,7.75E-01,5.75E-01
157,7.34E-01,5.08E-01
158,7.47E-01,6.25E-01
159,6.54E-01,8.20E-01
160,7.70E-01,5.53E-01
161,9.14E-01,5.16E-01
162,7.50E-01,6.36E-01
163,7.13E-01,8.06E-01
164,9.72E-01,6.00E-01
165,4.93E-01,5.02E-01
166,6.19E-01,5.43E-01
167,5.58E-01,6.52E-01
168,8.89E-01,8.99E-01
169,7.47E-01,5.93E-01
170,9.52E-01,6.65E-01
171,9.98E-01,4.08E-01
172,9.57E-01,6.47E-01
173,9.47E-01,7.29E-01
174,9.94E-01,5.59E-01
175,8.01E-01,5.76E-01
176,9.80E-01,5.96E-01
177,9.10E-01,5.71E-01
178,7.25E-01,5.77E-01
179,8.19E-01,7.13E-01
180,9.85E-01,6.29E-01
181,7.56E-01,6.10E-01
182,7.32E-01,7.54E-01
183,9.83E-01,7.94E-01
184,9.99E-01,5.30E-01
185,7.96E-01,6.13E-01
186,8.04E-01,5.16E-01
187,9.98E-01,8.39E-01
188,9.70E-01,8.02E-01
189,5.92E-01,6.06E-01
190,6.11E-01,6.35E-01
191,8.68E-01,7.40E-01
192,6.90E-01,7.23E-01
193,5.08E-01,5.70E-01
194,9.83E-01,5.03E-01
195,5.02E-01,5.15E-01
196,5.35E-01,5.13E-01
197,7.29E-01,9.30E-01
198,6.01E-01,7.51E-01
199,9.98E-01,7.27E-01
200,8.73E-01,9.87E-01
201,8.83E-01,9.84E-01
202,6.87E-01,6.74E-01
203,9.67E-01,8.82E-01
204,8.97E-01,8.62E-01
205,9.99E-01,6.63E-01
206,7.13E-01,6.79E-01
207,8.86E-01,6.43E-01
208,7.56E-01,7.01E-01
209,7.79E-01,9.55E-01
210,5.46E-01,7.44E-01
211,9.07E-01,6.15E-01
212,5.65E-01,6.09E-01
213,9.96E-01,5.23E-01
214,9.77E-01,6.02E-01
215,9.90E-01,9.43E-01
216,8.43E-01,7.63E-01
217,9.02E-01,9.14E-01
218,8.64E-01,7.07E-01
219,5.48E-01,5.23E-01
220,6.54E-01,5.04E-01
221,5.89E-01,7.45E-01
222,9.93E-01,8.19E-01
223,7.29E-01,5.34E-01
224,7.72E-01,7.11E-01
225,5.88E-01,5.35E-01
226,5.93E-01,7.39E-01
227,7.81E-01,7.40E-01
228,5.71E-01,5.01E-01
229,7.31E-01,5.38E-01
230,7.48E-01,5.05E-01
231,7.96E-01,9.94E-01
232,8.31E-01,7.67E-01
233,7.30E-01,7.32E-01
234,7.90E-01,5.74E-01
235,9.45E-01,5.11E-01
236,7.49E-01,7.53E-01
237,9.96E-01,6.65E-01
238,6.27E-01,8.89E-01
239,5.01E-01,7.68E-01
240,7.30E-01,7.63E-01
241,9.88E-01,5.17E-01
242,5.38E-01,5.09E-01
243,9.77E-01,7.46E-01
244,7.51E-01,6.39E-01
245,8.71E-01,5.85E-01
246,6.15E-01,5.05E-01
247,7.52E-01,7.20E-01
248,8.17E-01,8.63E-01
249,7.46E-01,6.38E-01
250,5.24E-01,7.58E-01
251,5.16E-01,7.66E-01
252,6.10E-01,6.98E-01
253,5.82E-01,5.44E-01
254,6.10E-01,7.43E-01
255,7.45E-01,9.40E-01
256,5.03E-01,5.93E-01
257,5.90E-01,6.71E-01
258,6.64E-01,7.66E-01
259,5.58E-01,6.64E-01
260,9.94E-01,5.05E-01
261,6.42E-01,5.61E-01
262,5.55E-01,8.64E-01
263,9.08E-01,7.38E-01
264,9.33E-01,6.31E-01
265,9.97E-01,7.54E-01
266,9.99E-01,6.54E-01
267,9.26E-01,6.52E-01
268,6.37E-01,8.99E-01
269,8.55E-01,7.48E-01
270,7.32E-01,9.77E-01
271,9.08E-01,5.99E-01
272,5.67E-01,7.58E-01
273,9.79E-01,5.05E-01
274,9.95E-01,8.76E-01
275,7.18E-01,6.52E-01
276,9.99E-01,5.07E-01
277,5.69E-01,8.40E-01
278,9.12E-01,7.32E-01
279,8.63E-01,7.66E-01
280,7.34E-01,9.00E-01
281,9.99E-01,9.27E-01
282,7.92E-01,5.96E-01
283,7.13E-01,5.95E-01
284,9.44E-01,5.18E-01
285,7.45E-01,7.50E-01
286,6.56E-01,5.45E-01
287,9.72E-01,7.43E-01
288,8.99E-01,8.16E-01
289,8.61E-01,7.52E-01
290,9.98E-01,7.52E-01
291,6.73E-01,7.53E-01
292,7.60E-01,5.31E-01
293,9.95E-01,7.23E-01
294,7.58E-01,9.50E-01
